☔降水量の合計(mm),🌡️平均気温(℃),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,❄️降雪量合計(cm),⚪未使用,☔降水量の合計(mm):Base,💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1991-11,13.1,2.6,➡️南東,福岡県,福岡市,0,0,85.5,64,5.2,9.6,1021.0,173.2,0,0,0
1991-12,10.0,2.5,➡️南東,福岡県,福岡市,0,0,52.0,70,6.1,8.8,1020.9,129.1,1,0,0
1992-01,7.8,2.5,➡️南東,福岡県,福岡市,0,0,77.5,65,6.9,7.0,1020.4,98.5,3,1,0
1992-02,7.6,3.2,➡️南東,福岡県,福岡市,0,0,107.0,63,6.9,6.9,1018.0,130.1,4,4,0
1992-03,10.8,2.7,⬆️北,福岡県,福岡市,0,0,223.5,77,8.4,10.0,1017.2,74.7,0,2,0
1992-04,15.4,2.9,⬆️北北西,福岡県,福岡市,0,0,90.0,68,5.8,11.8,1010.8,198.2,0,1,0
1992-05,18.9,3.0,➡️南東,福岡県,福岡市,0,0,113.0,66,6.3,14.2,1009.9,210.6,0,6,0
1992-06,21.4,2.9,⬆️北,福岡県,福岡市,0,0,165.5,74,7.2,18.8,1006.9,184.2,0,0,0
1992-07,26.5,2.6,➡️南東,福岡県,福岡市,0,0,89.0,77,7.5,26.3,1007.9,164.4,0,3,0
1992-08,26.7,3.4,⬆️北,福岡県,福岡市,0,0,263.0,82,8.0,28.4,1005.9,119.9,0,2,1
1992-09,24.6,3.0,⬆️北,福岡県,福岡市,0,0,85.0,71,6.4,22.1,1010.0,184.4,0,0,0
1992-10,18.5,2.9,⬆️北,福岡県,福岡市,0,0,62.5,69,5.7,14.7,1016.1,186.2,0,3,0
1992-11,13.2,2.6,➡️南東,福岡県,福岡市,0,0,86.5,69,6.3,10.7,1020.7,128.2,0,4,0
1992-12,10.0,2.9,➡️南東,福岡県,福岡市,0,0,75.5,65,7.0,8.3,1021.1,122.6,1,1,0
1993-01,7.5,2.5,➡️南東,福岡県,福岡市,0,0,84.0,68,7.8,7.3,1019.9,71.8,5,0,0
1993-02,8.3,3.5,➡️南東,福岡県,福岡市,0,0,59.0,60,6.3,6.8,1018.2,133.2,5,0,0
1993-03,9.8,3.2,⬆️北,福岡県,福岡市,0,0,73.0,63,6.8,7.9,1017.5,153.4,2,2,0
1993-04,14.6,3.2,⬆️北北西,福岡県,福岡市,0,0,142.5,60,5.5,10.5,1014.0,218.0,0,2,0
1993-05,18.8,2.7,⬆️北,福岡県,福岡市,0,0,116.5,72,7.4,15.6,1010.3,153.2,0,1,1
1993-06,22.9,2.7,➡️南東,福岡県,福岡市,0,0,300.5,78,8.3,22.0,1005.3,138.9,0,3,0
1993-07,25.1,2.8,⬆️北,福岡県,福岡市,0,0,320.5,81,8.4,25.8,1004.8,117.0,0,5,0
1993-08,25.2,2.7,⬆️北,福岡県,福岡市,0,0,454.5,82,7.9,26.2,1005.9,120.0,0,7,0
1993-09,22.6,2.7,⬆️北,福岡県,福岡市,0,0,240.5,76,7.1,20.8,1011.3,148.3,0,3,0
1993-10,17.7,2.5,➡️南東,福岡県,福岡市,0,0,68.0,67,5.5,13.6,1017.1,187.6,0,0,0
