発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2007-09-27,-,-,-,アークシステムワークス,バスフィッシングWiiロクマル伝説,-,11026,0,,-,,,,,,,,
2007-10-04,33,"￥7,000代",ACT,バンダイナムコ,ドラゴンボールZスパーキング！メテオ,-,10731,0,,-,,,,,,,,
2007-10-04,30,"￥7,000代",SPT,コナミ,実況パワフルメジャーリーグ2Wii,野球,10846,0,,-,,,,,,,,
2007-10-25,31,"￥5,000代",SHT,セガ,ゴースト・スカッド,-,10643,0,,-,,,,,,,,
2007-10-25,31,-,SHT,セガ,ゴースト・スカッド(Wiiザッパー同梱版),-,10644,0,,-,,,,,,,,
2007-10-25,-,-,-,バンダイナムコ,銀魂万事屋ちゅーぶツッコマブル動画,-,10759,0,,-,,,,,,,,
2007-10-25,30,"￥6,000代",ACT,コナミ,ダンスダンスレボリューションホッテストパーティー,-,10813,0,,-,,,,,,,,
2007-10-25,30,-,ACT,コナミ,ダンスダンスレボリューションホッテストパーティー(専用マットコントローラ同梱版),-,10814,0,,-,,,,,,,,
2007-10-25,33,"￥6,000代",ADV,カプコン,宝島Zバルバロスの秘宝,-,10886,0,,-,,,,,,,,
2007-10-25,-,-,-,D3パブリッシャー,THEみんなでカート・レース(SIMPLEWiiシリーズVol.1),-,10984,0,,-,,,,,,,,
2007-10-25,-,-,-,D3パブリッシャー,THEみんなでバス釣り大会(SIMPLEWiiシリーズVol.2),-,10985,0,,-,,,,,,,,
2007-11-01,38,"￥6,000代",ACT,任天堂,スーパーマリオギャラクシー,-,10568,103,,-,小泉歓晃/古閑直樹|早川毅/小泉歓晃|宮本茂(コンセプト)|元倉健太,小泉歓晃,古閑直樹|早川毅,小泉歓晃|宮本茂(コンセプト)|元倉健太,横田真人|近藤浩治,一角崇行|小泉歓晃,宮本茂|清水隆雄,
2007-11-01,31,"￥7,000代",RPG,コーエー,オプーナ,-,10890,0,,-,,,,,崎元仁|ベイシスケイプ,,,
2007-11-08,-,-,-,エレクトロニック・アーツ,タイガー・ウッズPGATOUR08,-,10924,0,,-,,,,,,,,
