発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1986-01-01,MSX,-,32K,コンパイル,ガーディック,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,カシオ,カーファイター,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,日本テレネット,ガーリーブロック,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,MSX,-,8K,アスキー,カーレース(CARRACE),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,カシオ,カシオワールドオープン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,不明,-,不明,アートサプライ,カップル,￥,￥0代,1,?,,,,,,,,
1986-01-01,MSX,-,32K,ポニーキャニオン,カモン!ピコ,"￥4,900","￥5,000代",1,Mirrored,,,,,ポール・マッカートニー,,"ポール・マッカートニー| ジョージ・マーティン",
1983-01-01,MSX,-,16K,アスキー,カラー・トーチカ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,マジックソフト,カラー・ミッドウエイ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,8K,ハドソン,カラーボール,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ＨＡＬ研究所,カラ丸珍道中,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,MSX,-,32K,ポニーキャニオン,ガルケイブ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,1M,ソニー,ガルフォースカオスの攻防,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,MSX,-,32K,コスモスコンピュータ,カレイジアスペルセウス,￥,￥0代,1,Mirrored,,,,,,,,
1980-01-01,MSX2,-,1M,アスキー,かんたん手帳リファイルの攻防,￥,￥0代,1,?,,,,,,,,
1987-01-01,MSX2,-,1M,コナミ,がんばれゴエモン!からくり道中,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,梅崎重治|青山和浩,橋本和久,寺島里恵,,,
1986-01-01,MSX,-,32K,日本デクスタ,ガンフライト,"￥5,700","￥5,500代",1,Mirrored,,,,,デイヴィッド・ラクシン,ハル・グッドマン|ラリー・クレイン,,
1984-01-01,MSX,-,16K,ポニーキャニオン,キーストンケーパーズ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,キーボードコードプログレッション1,"￥6,500","￥6,500代",1,?,,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,ギターコードマスター,"￥6,500","￥6,500代",1,?,,,,,,,,
1987-01-01,MSX,-,32K,ＨＡＬ研究所,キックイット,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,不明,タケル／ブラザー工業,キャノンターボ,"￥2,500","￥2,500代",1,?,,,,,,,,
1983-01-01,MSX,-,8K,ハドソン,キャノンボール,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,NEXA,キャプテン・コスモ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,8K,日本コロムビア,キャプテンシェフ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,コナミ,キャベッジパッチキッズ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,32K,ナムコ,ギャラガ,"￥4,500","￥4,500代",1,Mirrored,,,小川徹,横山茂,大野木宜幸,,,
1984-01-01,MSX,-,8K,ナムコ,ギャラクシアン,"￥4,500","￥4,500代",1,Mirrored,,,田城幸一,澤野和則(企画)|石村繁一(基板設計)|山下正|中馬義明|小野浩,石村繁一|安江正樹|甲斐敏夫,,,
1983-01-01,MSX,-,16K,アスキー,ギャング・マスター,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,MSX,-,16K,アスキー,キャンドゥーニンジャ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,ＨＡＬ研究所,キュースター,"￥4,800","￥5,000代",1,?,,,,,,,,
1988-01-01,MSX,-,2M,ゲームアーツ,ぎゅわんぶらあ自己中心派,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX2,-,2M,ゲームアーツ,ぎゅわんぶらあ自己中心派2自称!強豪雀士編,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,32K,ナムコ,キング＆バルーン,"￥4,500","￥4,500代",1,Mirrored,,,深谷正一,澤野和則|横山茂,徳江晶彦,,,
1986-01-01,MSX2,-,1M,コナミ,キングコング2甦る伝説,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1986-01-01,MSX,-,1M,スクウェア,キングスナイト,"￥5,900","￥6,000代",1,ASCII_16KB,,,Workss,,植松伸夫,,,
1985-01-01,MSX,-,32K,バンダイ,キン肉マンコロシアムデスマッチ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,アスキー,クィーンズゴルフ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,BIT2,クインプル,￥,￥0代,1,ASCII_8KB,,,,,,,,
1986-01-01,MSX,ACT,32K,コナミ,グーニーズ,"￥4,800","￥5,000代",1,Mirrored,,,,,デイヴ・グルーシン,クリス・コロンバス,,
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,クエスト,￥,￥0代,1,Mirrored,,,,,,,,
1990-01-01,MSX2,-,1M,コナミ,クォース,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,"WADA 891006|石田和彦",井内洋|鮫島宗治|高野泰,半澤一雄,,,
1985-01-01,MSX,-,16K,ZAP,グライダー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,SHT,1M,コナミ,グラディウス,"￥4,980","￥5,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,MSX,SHT,1M,コナミ,グラディウス2,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
